Year,Age,mx
1935,57,0.02134
1935,58,0.02285
1935,59,0.0246
1935,60,0.02659
1935,61,0.02877
1935,62,0.03112
1935,63,0.03364
1935,64,0.03638
1935,65,0.03936
1935,66,0.04247
1935,67,0.04579
1935,68,0.04942
1935,69,0.05339
1935,70,0.05775
1935,71,0.06278
1935,72,0.06845
1935,73,0.07458
1935,74,0.08123
1935,75,0.08541
1935,76,0.0935
1935,77,0.10221
1935,78,0.11138
1935,79,0.1207
1935,80,0.12825
1935,81,0.13841
1935,82,0.14975
1935,83,0.16206
1935,84,0.17507
1935,85,0.18922
1935,86,0.20469
1935,87,0.2216
1935,88,0.23957
1935,89,0.25691
1935,90,0.27141
1935,91,0.28204
1935,92,0.28764
1935,93,0.28734
1935,94,0.28477
1935,95,0.34099
1935,96,0.35964
1935,97,0.37871
1935,98,0.39817
1935,99,0.41796
1935,100,0.43801
1935,101,0.45827
1935,102,0.47866
1935,103,0.49913
1935,104,0.5196
1935,105,0.54001
1935,106,0.56028
1935,107,0.58035
1935,108,0.60017
1935,109,0.61965
1935,110+,0.63876
1936,0,0.0701
1936,1,0.00956
1936,2,0.00455
1936,3,0.00303
1936,4,0.00239
1936,5,0.00201
1936,6,0.00186
1936,7,0.00173
1936,8,0.00161
1936,9,0.00151
1936,10,0.00144
1936,11,0.00143
1936,12,0.00149
1936,13,0.00161
1936,14,0.0018
1936,15,0.00207
1936,16,0.00236
1936,17,0.00263
1936,18,0.00289
1936,19,0.00312
1936,20,0.00331
1936,21,0.00347
1936,22,0.0036
1936,23,0.00371
1936,24,0.0038
1936,25,0.00387
1936,26,0.00395
1936,27,0.00403
1936,28,0.00412
1936,29,0.00422
1936,30,0.00432
1936,31,0.00448
1936,32,0.00469
1936,33,0.00496
1936,34,0.0053
1936,35,0.0057
1936,36,0.00613
1936,37,0.00657
1936,38,0.00701
1936,39,0.00741
1936,40,0.00779
1936,41,0.00816
1936,42,0.00855
1936,43,0.009
1936,44,0.00955
1936,45,0.0102
1936,46,0.01093
1936,47,0.01173
1936,48,0.01261
1936,49,0.01357
1936,50,0.01462
1936,51,0.01571
1936,52,0.01683
1936,53,0.01796
1936,54,0.01904
1936,55,0.0201
1936,56,0.02125
1936,57,0.02257
1936,58,0.02409
1936,59,0.02585
1936,60,0.02786
1936,61,0.0301
1936,62,0.03258
1936,63,0.03532
1936,64,0.03836
1936,65,0.04171
1936,66,0.04512
1936,67,0.04855
1936,68,0.05204
1936,69,0.05566
1936,70,0.05954
1936,71,0.06428
1936,72,0.07019
1936,73,0.07729
1936,74,0.08553
1936,75,0.09157
1936,76,0.10064
1936,77,0.11029
1936,78,0.12025
1936,79,0.13002
1936,80,0.13724
1936,81,0.14784
1936,82,0.16024
1936,83,0.17414
1936,84,0.1892
1936,85,0.2051
1936,86,0.22184
1936,87,0.24009
1936,88,0.2595
1936,89,0.27888
1936,90,0.29594
1936,91,0.30938
1936,92,0.31825
1936,93,0.32118
1936,94,0.32172
1936,95,0.37739
1936,96,0.39822
1936,97,0.41943
1936,98,0.44094
1936,99,0.46267
1936,100,0.48455
1936,101,0.50649
1936,102,0.5284
1936,103,0.5502
1936,104,0.57181
1936,105,0.59316
1936,106,0.61415
1936,107,0.63473
1936,108,0.65483
1936,109,0.67439
1936,110+,0.69336
1937,0,0.06836
1937,1,0.00886
1937,2,0.00425
1937,3,0.00289
1937,4,0.00232
1937,5,0.00195
1937,6,0.00175
1937,7,0.00159
1937,8,0.00146
1937,9,0.00136
1937,10,0.00129
1937,11,0.00129
1937,12,0.00136
1937,13,0.00149
1937,14,0.0017
1937,15,0.00197
1937,16,0.00225
1937,17,0.00252
1937,18,0.00277
1937,19,0.003
1937,20,0.00317
1937,21,0.00331
1937,22,0.00342
1937,23,0.00351
1937,24,0.00359
1937,25,0.00366
1937,26,0.00374
1937,27,0.00384
1937,28,0.00394
1937,29,0.00406
1937,30,0.00419
1937,31,0.00435
1937,32,0.00455
1937,33,0.00478
1937,34,0.00507
1937,35,0.0054
1937,36,0.00576
1937,37,0.00615
1937,38,0.00657
1937,39,0.007
1937,40,0.00741
1937,41,0.00782
1937,42,0.00824
1937,43,0.0087
1937,44,0.00923
1937,45,0.00987
1937,46,0.01061
1937,47,0.01141
1937,48,0.01228
1937,49,0.01322
1937,50,0.01425
